,ts_code,trade_time,open,high,low,close,vol,amount,trade_date,pre_close
0,000001.SZ,2013-01-04 15:00:00,16.0,16.0,15.99,15.99,440538.0,7044203.0,20130104,16.0
1,000001.SZ,2013-01-04 14:59:00,16.0,16.0,16.0,16.0,0.0,0.0,20130104,16.0
2,000001.SZ,2013-01-04 14:58:00,16.0,16.0,16.0,16.0,0.0,0.0,20130104,16.0
3,000001.SZ,2013-01-04 14:57:00,16.02,16.02,16.0,16.0,491019.0,7857968.0,20130104,16.02
4,000001.SZ,2013-01-04 14:56:00,16.01,16.02,16.0,16.02,75702.0,1211421.0,20130104,16.01
5,000001.SZ,2013-01-04 14:55:00,16.01,16.01,16.0,16.01,81071.0,1297701.0,20130104,16.01
6,000001.SZ,2013-01-04 14:54:00,16.01,16.02,16.01,16.01,89899.0,1439476.0,20130104,16.02
7,000001.SZ,2013-01-04 14:53:00,16.01,16.02,16.01,16.02,67899.0,1087475.0,20130104,16.01
8,000001.SZ,2013-01-04 14:52:00,16.02,16.02,16.01,16.01,43100.0,690262.0,20130104,16.02
9,000001.SZ,2013-01-04 14:51:00,16.03,16.03,16.01,16.02,31100.0,498192.0,20130104,16.02
10,000001.SZ,2013-01-04 14:50:00,16.03,16.03,16.01,16.02,114804.0,1839749.0,20130104,16.03
11,000001.SZ,2013-01-04 14:49:00,16.04,16.04,16.03,16.03,23700.0,379979.0,20130104,16.04
12,000001.SZ,2013-01-04 14:48:00,16.04,16.04,16.02,16.04,61758.0,989725.0,20130104,16.01
13,000001.SZ,2013-01-04 14:47:00,16.01,16.04,16.01,16.01,121402.0,1943945.0,20130104,16.01
14,000001.SZ,2013-01-04 14:46:00,16.01,16.03,16.01,16.01,41800.0,669357.0,20130104,16.01
15,000001.SZ,2013-01-04 14:45:00,16.0,16.01,16.0,16.01,104146.0,1666737.0,20130104,16.01
16,000001.SZ,2013-01-04 14:44:00,16.02,16.04,16.01,16.01,64300.0,1029749.0,20130104,16.02
17,000001.SZ,2013-01-04 14:43:00,16.01,16.02,16.0,16.02,79700.0,1276455.0,20130104,16.01
18,000001.SZ,2013-01-04 14:42:00,16.0,16.01,15.99,16.01,34600.0,553702.0,20130104,15.99
