,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14,n1_high,n2_low,signal,keep,benchmark_profit,trend_profit
2013-07-23,122.74,125.56,121.82,0.253,124.0,122.43,7740469,20130723,1,0,3.740000000000009,3.740000000000009,122.74,122.74,,,,
2013-07-24,121.7,124.5,119.56,-0.847,124.47,122.74,6870497,20130724,2,1,4.368571428571432,4.382857142857145,122.74,121.7,0.0,,-0.008509296967469404,
2013-07-25,124.07,124.75,120.19,1.9469999999999998,120.4,121.7,5285144,20130725,3,2,4.438549848942601,4.450526315789476,124.07,121.7,,0.0,0.019286922461298487,0.0
2013-07-26,129.39,130.68,126.61,4.288,128.14,124.07,9638311,20130726,4,3,5.740999784529203,5.836220087019586,129.39,121.7,,0.0,0.0419851768730813,0.0
2013-07-29,134.62,135.37,128.25,4.042,129.32,129.39,9685972,20130729,0,4,7.07413637778252,7.26171190624663,134.62,121.7,,0.0,0.039624895254705826,0.0
2013-07-30,131.74,137.49,128.18,-2.1390000000000002,134.8,134.62,13130267,20130730,1,5,7.540837095187556,7.735649253422105,134.62,121.7,,0.0,-0.021625711370020107,-0.0
2013-07-31,134.28,134.975,131.45,1.9280000000000002,132.57,131.74,6350470,20130731,2,6,6.7909507085937495,6.848376179476818,134.62,121.7,,0.0,0.01909688889928717,0.0
2013-08-01,135.55,136.52,132.63,0.946,135.0,134.28,5318606,20130801,3,7,6.448277363172177,6.443832255957043,135.55,121.7,,0.0,0.009413403832840431,0.0
2013-08-02,138.0,138.25,133.61,1.807,134.59,135.55,6267563,20130802,4,8,6.1628316757747665,6.111704806949949,138.0,121.7,,0.0,0.017913109212530077,0.0
2013-08-05,144.68,144.89,139.65,4.841,140.01,138.0,10198132,20130805,0,9,6.632894869896802,6.67737847878026,144.68,121.7,,0.0,0.04727072192669255,0.0
2013-08-06,142.15,145.73,141.1,-1.749,144.75,144.68,9260292,20130806,1,10,6.786452827134993,6.854406888945228,144.68,121.7,,0.0,-0.01764156898688839,-0.0
2013-08-07,134.23,141.95,132.36,-5.572,141.89,142.15,18180651,20130807,2,11,7.524745306547256,7.742651548822887,144.68,121.7,,0.0,-0.057328091597464215,-0.0
